seed,num_stages,energy_consumed,psi_c_final,psi_s_final,mse_final
42,3,38735.104281333406,5299434237.398153,0.27994203123035494,0.06819433849433254
56,3,39604.87510358365,5047681773.973136,0.08717958634399058,0.3079042859973508
54,3,39981.78990877403,5047881828.0330305,0.16161137408642987,0.10421323058381714
48,3,39291.19752576016,5502709188.364983,0.05657302250652123,0.15750310825182748
44,3,38870.597261185736,5373893169.946309,0.2431245552081757,0.0037769603342143986
46,3,39162.55317833138,4931704099.18523,0.30656450500672755,0.05004184767324495
50,3,38757.04524479147,5887698734.736147,0.20049274345500737,0.6337325027041857
52,3,39588.28819739756,4105095763.0830855,0.164460313147574,0.06803468388353362
51,3,39998.04022541835,4230722805.933547,0.10278817844406747,0.034205463815147316
45,3,39910.7066924223,5531919984.033913,0.08139536795904857,0.052173102743035424
55,3,39999.244576171775,4378911400.120546,0.10559154405696164,0.3088889152392782
47,3,39724.006438255135,4837002242.492686,0.6158148146447956,0.1963721166646283
57,3,38944.96711265297,6179725239.1199255,0.40390860043468635,0.8127406670380233
53,3,39622.819668096534,5920108133.2599535,0.08201831310810652,0.020387861710562248
49,3,38970.13290691871,6060075718.965603,0.15863945750575986,0.08220226785753804
58,3,39268.11112833713,4914280441.403157,0.09818938574892512,0.047267322938935694
59,3,39313.719788771705,4777658212.344719,0.37525244541514,0.5192504328850127
43,3,38384.795605659165,5381669105.837211,0.035428813951553485,0.03303366172650538
62,3,39999.781439316874,5092517541.208115,0.14039666808252768,0.0808399716927656
60,3,39566.51192639632,4490890755.764552,0.12532173103852895,0.02315773531965291
63,3,39198.861541013655,5363790508.133333,0.1915095344758375,13680.709764053698
68,3,39984.771624913665,5289129591.841427,0.23608256189443014,0.01803713302606776
66,3,38797.376455371326,5473536552.082857,0.16036506381680188,0.05657155592532375
76,3,38599.676956082614,5648789955.805136,0.16165946620980487,0.16704851843591959
70,3,39032.05817170723,5766925818.689242,0.22016823731279075,0.06035935012166915
65,3,39899.60829851548,5348495044.768415,0.08417966005747102,0.0901771252246712
73,3,38826.43474578866,5185305450.610433,0.16948797885043795,0.14877312782657404
75,3,39996.64571498597,5192950856.705682,0.10767222171689474,0.046718588427088724
72,3,38597.34740060424,6054266735.374959,0.05040509224012607,0.08977238035704138
69,3,39979.306666720084,5514371162.979482,0.10066819040920848,0.07497222874147644
64,3,39246.010977586964,5745117098.922838,0.05969726037546491,0.14672389322569485
77,3,39890.59681195011,4436924331.113038,0.17990173032414392,0.19311985840428203
61,3,39516.30545722859,4469498391.794004,0.10438139554420828,0.04697792682105466
71,3,42203.33681584333,7236673380.415702,0.1573086123842466,36773.28351913853
74,3,38915.26576532155,5442439710.622552,0.26739783755503405,0.18433329575526808
81,3,39900.99850926105,4857034482.703757,0.09255009926703987,0.07541652576227552
67,3,39994.83388509697,5309586672.843346,0.1323827112889422,0.13069820530965365
79,3,39586.30244770628,4532274160.246218,0.2030841008039489,0.19851603684273122
80,3,39998.620821554156,4548282171.850492,0.17642970591974333,0.03857175350120058
89,3,39805.59277932221,4757142203.571843,0.13755709409535744,0.09691773593801367
86,3,39400.44469844735,5123043251.268232,0.7888287546760886,0.11766718856777045
88,3,39691.8046466707,5379667247.278366,0.12474035268735266,0.036813352501106414
90,3,39155.97366922979,5457078879.655967,0.09330286580787087,0.09331745445884523
91,3,39533.32438250827,5093668576.831995,0.22327085190921506,0.269495072426874
85,3,39087.065734075426,5081499217.865175,0.0706436471515577,0.10302626989604424
83,3,39742.9055427795,5197071468.420242,0.07553115979672607,0.019667144014769086
84,3,38854.46198044056,6094765444.745433,0.23975704860696595,0.03902721253917096
78,3,39731.89515030464,5967708963.113289,0.08787034825517069,0.06700467956009067
87,3,39852.56351616507,5530941114.7978325,0.08353416768738492,0.03440303622699581
82,3,39959.23844242992,4903158423.374181,0.7961419652387487,0.3564639541793808
